40546, "Abbott Nederland"
10750, "Stg. Pensioenfonds"
58996, "ABN-AMRO, Pensioenfonds"
80043, "ABP"
87285, "AC Nielsen, Stg. Pensioenfonds"
30285, "Accountancy, Stg. Pensioenfonds voor de"
70726, "Achmea, Stg. Algemeen Pensioenfonds"
88299, "Achmea, Stg. Pensioenfonds"
50852, "Ahold, Stg. Pensioenfonds"
10733, "Alcatel-Lucent Pensioenfonds, Stg."
72846, "Alliance, Stg. Pensioenfonds"
4958, "Allianz Nederland, Stg. Pensioenfonds"
13640, "ANWB, Pensioenfonds"
24634, "Aon Groep Nederland, Stg. Pensioenfonds"
96731, "APF, Stg. Pensioenfonds"
20574, "APG, PersoneelsPensioenFonds"
71515, "Apotheken, Pensioenfonds Medewerkers"
51891, "Apothekers, Stg. Pensioenfonds Openbare"
91298, "Arcadis Nederland, Stg. Pensioenfonds"
81837, "Archimedes Stg. Pensioenfonds"
88159, "Architectenbureaus, Stg. Pensioenfonds"
44123, "Astellas, Stg. Pensioenfonds"
23093, "AT&T Nederland, Stg. Pensioenfonds"
83569, "Atradius, Stg. Pensioenfonds"
85620, "Avery Dennison, Stg. Pensioenfonds"
85212, "AVH, Bpf."
22322, "AZL, Stg. Pensioenfonds"
10690, "Bakkersbedrijf, Stg. Bpf. voor het"
83198, "Ballast-Nedam, Stg. Pensioenfonds"
94029, "Banden- en Wielenbranche, Bpf. voor de"
3253, "Betonproductenindustrie, Stg. Bpf. voor de"
39053, "Blue Sky Group, Stg. Pensioenfonds"
81298, "Bouwnijverheid, Stg. Bpf. voor de"
35840, "OFP BP Pensioenfonds"
60670, "British American Tobacco, Stg. Pensioenfonds"
29448, "Brocacef Pensioenfonds, Stg."
50158, "Buizerdlaan, Stg. Pensioenfonds"
89918, "Calpam Pensioenfonds, Stg."
34642, "Campina, Stg. Pensioenfonds"
39920, "Cargill B.V., Stg. Pensioenfonds"
9784, "Chemours Nederland, Stg. Pensioenfonds"
63070, "Chevron Pensioenfonds, Stg."
92524, "Cindu International, Stg. Pensioenfonds"
18902, "Citigroup Nederland, Stg. Pensioenfonds"
36155, "Coop Pensioenfonds, Stg."
50308, "Coram, Stg. Pensioenfonds"
75007, "Croda, Stg. Pensioenfonds"
82896, "Curaçao, Algemeen Pensioenfonds van"
47673, "De Nationale APF, Stg."
31336, "De Nederlandsche Bank N.V., Stg. Pensioenfonds van"
34759, "Delta Lloyd Algemeen Pensioenfonds"
75026, "Delta Lloyd, Stg. Pensioenfonds"
96101, "Detailhandel, Stg. Bpf. voor de"
115, "Deutsche Bank Nederland, Stg. Pensioenfonds"
92154, "Dierenartsen, Stg. pensioenfonds voor"
92293, "Douwe Egberts Pensioenfonds, Stg."
96450, "Dow Pensioenfonds N.V., Stg."
10925, "Dranken, Stg. Bpf. voor de"
81578, "DSM, Stg. Pensioenfonds"
90444, "Ecolab B.V., Stg. Pensioenfonds"
16275, "Equens Nederland, Stg. Pensioenfonds"
28490, "Eriks, Stg. Pensioenfonds"
60789, "Ernst & Young, Pensioenbureau"
53222, "Fluor Nederland, Stg. Pensioenfonds"
94805, "Forbo, Stg. Pensioenfonds"
11038, "Ford Nederland, Stg. Pensioenfonds voor het personeel van"
63378, "Fracties, Stg. Pensioenfonds De"
1435, "Fresenius Nederland, Stg. Pensioenfonds"
32970, "Fysiotherapeuten, Stg. Pensioenfonds voor"
54339, "Gasunie, Stg. Pensioenfonds"
85392, "GE Artesia Bank, Stg. Pensioenfonds"
95240, "General Electric Nederland, Stg. Pensioenfonds"
95073, "Grolsche Bierbrouwerij, Stg. Pensioenfonds van de"
62714, "Grontmij, Stg. Pensioenfonds"
18675, "Groothandel in Bloemen en Planten, Bpf. voor de"
50243, "Groothandel in Levensmiddelen, Bpf. voor de"
60544, "Hagee Stichting Pensioenfonds"
22916, "HAL, Stg. Pensioenfonds"
36565, "Handel in Bouwmaterialen, Bpf. voor de"
69635, "HaskoningDHV, Stg. Pensioenfonds"
27698, "Heijmans N.V., Stg. Pensioenfonds"
44750, "Heineken Pensioenfonds, Stg."
27705, "Henkel Nederland B.V., Stg. Pensioenfonds"
30347, "Het nederlandse pensioenfonds"
48643, "Hewitt NL, Stg. Pensioenfonds"
33189, "Hewlett-Packard Nederland, Stg. Pensioenfonds"
72848, "Holland Casino, Stg. Pensioenfonds"
28936, "Honeywell, Stg. Pensioenfonds"
2579, "Horeca & Catering, Pensioenfonds"
35368, "Hoogovens, Stg. Pensioenfonds"
27573, "Houthandel, Bpf. voor de"
71502, "Houtverwerkende Industrie en Jachtbouw, Bpf. voor de"
39551, "Huisartsen, Stg. Pensioenfonds voor"
98988, "Huisarten in Opleiding, Stg. Pensioenfonds"
84189, "Hunter Douglas, Stg. Pensioenfonds"
3984, "IBM Nederland, Stg. Pensioenfonds"
9142, "IFF Pensioenfonds, Stg."
13503, "IKEA, Stg. Pensioenfonds"
59326, "ING, Stg. Pensioenfonds"
4727, "Invista, Stg. Pensioenfonds"
65861, "Jan Huysman Wz. Fonds, Stg."
45107, "J&J Pension Fund OFP"
29092, "Kappersbedrijf, Stg. Bpf. voor het"
83510, "KAS BANK, Stg. Pensioenfonds van de"
48104, "KLM Cabinepersoneel, Stg. Pensioenfonds"
75727, "KLM Vliegend Personeel, Stg. Pensioenfonds"
77190, "KLM, Stg. Algemeen Pensioenfonds"
95365, "Koninklijke Cosun, Stg. Pensioenfonds"
42934, "Koninklijke Ten Cate, Stg. Pensioenfonds"
88086, "Koopvaardij, Stg. Bpf. voor de"
99489, "KPN, Stg. Pensioenfonds"
40202, "BPL Pensioen"
6083, "Lanschot, Stg. Pensioenfonds F. van"
95040, "Legal & General, Stg. Pensioenfonds"
38459, "Levensmiddelenbedrijf, Stg. Bpf. voor het"
71866, "Lloyd's Register Nederland, Stg. Pensioenfonds"
5183, "Loodsen, Beroepspensioenfonds"
85240, "Mars Pensioenfonds, Stg."
79844, "Medisch Specialisten, Stg. Pensioenfonds"
80533, "Mercer, Stg. Pensioenfonds"
66949, "Metro Pensioenfonds"
94429, "Metaal en Techniek, Pensioenfonds"
77802, "Metalektro, Pensioenfonds van de "
84546, "Meubelindustrie en Meubileringsbedrijven, Bpf. voor de"
4741, "MN, Pensioenfonds"
54386, "Mode-, Interieur-, Tapijt en Textielindustrie (Bpf MITT), Bpf. voor de"
90007, "Molenaarspensioenfonds, Stg."
59074, "MSD, Stg. Pensioenfonds"
70738, "Nederlandse Groothandel, Stg. Pensioenfonds voor de"
17427, "Nedlloyd Pensioenfonds, Stg."
97386, "NIBC N.V., Stg. Pensioenfonds"
18297, "Nike Nederland, Stg. Pensioenfonds"
17103, "NN CDC Pensioenfonds"
77331, "NORIT Pensioenfonds, Stg."
68660, "Notariaat, Bpf. voor de Medewerkers in het"
17522, "Notarieel Pensioenfonds, Stg."
82311, "Openbaar Vervoer, Stg. Pensioenfonds"
87940, "Openbare Bibliotheken, Stg. Pensioenfonds"
69877, "ORTEC Pensioenfonds, Stg."
56941, "OWASE, Stg. Pensioenfonds"
89758, "Particuliere Beveiliging, Bpf. voor de"
43688, "PepsiCo Nederland, Stg. Pensioenfonds"
46188, "Personeelsdiensten, Stg. Pensioenfonds voor"
16543, "PGB, Pensioenfonds"
82943, "Philips Pensioenfonds, Stg."
33606, "PNO Media"
73454, "Pon, Stg. Pensioenfonds"
86752, "PostNL, Stg. Pensioenfonds"
45211, "Protector, Stg. Pensioenfonds"
29002, "Provisum, Stg. Pensioenfonds"
98464, "Rabobank, Stg. Pensioenfonds"
63457, "Randstad, Stg. Pensioenfonds"
12982, "Recreatie, Stg. Pensioenfonds voor de"
40863, "Reisbranche, Stg. Bpf."
51537, "Remia, Stg. Pensioenfonds"
13734, "Rijn- en Binnenvaart, Bpf. voor de"
60441, "ROBA Pensioenfonds, Stg."
41100, "Robeco, Stg. Pensioenfonds"
92236, "Rockwool, Stg. Pensioenfonds"
33574, "Roeiers in het Rotterdamse havengebied, Stg. Pensioenfonds voor"
46472, "SABIC, Stg. Pensioenfonds"
75823, "Sagittarius, Stg. Pensioenfonds"
57804, "Samenwerking, Pensioenfonds voor het Slagersbedrijf, Stg. De"
35514, "Sanoma Nederland, Stg. Pensioenfonds"
387, "SC Johnson, Stg. Pensioenfonds"
13769, "SCA, Stg. Pensioenfonds"
28701, "Schilders-, Afwerkings- en Glaszetbedrijf, Bpf."
95478, "Schoen-, Leder- en Lederwarenindustrie, Bpf. voor de"
81900, "Schoenmakerij, Stg. Bpf. voor de"
7976, "Schoonmaak- en Glazenwassersbedrijf, Bpf. voor het"
88645, "Security, Pensioenstichting"
91644, "Shell Pensioenfonds, Stg."
63367, "Shell Nederland Pensioenfonds Stichting"
92, "Sigarenindustrie en Aanverwante Bedrijven, Vereniging Ned. Pensioenfonds voor de"
18434, "Sligro Food Group, Stg. Pensioenfonds"
801, "Smurfit Kappa Nederland, Stg. Pensioenfonds"
83834, "Smurfit Nederland, Stg. Pensioenfonds"
96240, "SNS Reaal, Stg. Pensioenfonds"
74972, "Spoorwegpensioenfonds, Stg."
45261, "Sportfondsen Pensioenfonds, Stg."
70955, "Stap Algemeen Pensioenfonds"
94856, "Staples, Stg. Pensioenfonds"
57482, "Pensioenfonds Tandartsen en Tandarts-specialisten (SPT)"
66297, "Tandtechniek, Stg. Pensioenfonds voor de"
54622, "TBI, Stg. Pensioenfonds"
73977, "TDV, Stg. Pensioenfonds"
4575, "Telegraafpensioenfonds 1959, Stg."
13713, "Thales Nederland, Stg. Pensioenfonds"
70183, "TNO, Stg. Pensioenfonds"
59618, "TNT Express, Stg. Pensioenfonds"
95954, "TOTAL Pensioenfonds Nederland, Stg."
49785, "Towers Watson, Stg. Pensioenfonds"
32359, "Transavia, Stg. Pensioenfonds Grond- en Cabinepersoneel"
77488, "Transport, Pensioenstichting"
21841, "Trespa, Stg. Pensioenfonds"
26820, "TrueBlue, Stg. Bedrijfstakpensioenfonds"
91712, "Unilever APF"
38090, "Unirobe Meeùs Groep, Stg. Pensioenfonds"
41058, "Unisys Nederland, Stg. Pensioenfonds"
83173, "Urenco Nederland, Stg. Pensioenfonds"
89806, "UWV, Stg. Pensioenfonds"
10371, "Verloskundigen, Stg. Pensioenfonds"
53745, "Vervoer, Pensioenfonds"
10335, "Vitol-Anker, Stg. Pensioenfonds"
3204, "Vlakglas, Bpf."
29977, "Vlees, Vleeswaren, Gemaksvoeding en Pluimveevlees, Stg. Bpf voor"
19998, "VNU, Stg. Pensioenfonds"
44441, "Volo pensioen, Stg. APF"
42614, "Voorzieningsfonds Getronics, Stg."
75995, "Vopak, Stg. Pensioenfonds"
17832, "Waterbouw, Stg. Bpf."
33159, "Werk en (re)Integratie, Stg. Pensioenfonds"
44751, "Will Niemeyer Pensioenfonds, Stg."
47347, "Witteveen & Bos, Stg. Pensioenfonds"
42937, "Wolters Kluwer Nederland, Stg. Pensioenfonds"
69014, "Wonen, Stg. Pensioenfonds"
76507, "Woningcorporaties, Stg. Pensioenfonds voor de"
41639, "Xerox, Stg. Pensioenfonds"
76030, "Yara Nederland, Stg. Pensioenfonds"
30673, "Zoetwarenindustrie, Bpf. voor de"
51302, "Zorg en Welzijn, Pensioenfonds"
17332, "Zorgverzekeraars, Stg. Bpf."
88653, "Zuivel en Aanverwante Industrie"
68448, "Stg. Bpf. voor de"